,row,v_nodes,c_nodes,ts_size,snr,sim_index
85,42,[ 1  2  3  4  5  6 10 13 17 27 31 42 49 54 65 85 91],[ 1  8 11 12 13 14 15 16 19 21 22 23 28 29 30 31 33 37 38 41 42 44 46],"[17.0, 23.0]",10,1
86,43,[ 1  2  3  4  5  6 20 24 43 59 62 63 70 75],[ 1  4  8 11 14 15 17 21 23 31 33 37 41 44],"[14.0, 14.0]",10,0
87,43,[ 0  3  4 20 24 43 59 62 63 70 75],[ 9 11 14 16 21 29 37 38 39],"[11.0, 9.0]",10,1
88,44,[ 0  1  3 14 17 44 49 53 58 89 92],[ 3  5  9 11 15 21 29 31 32 37 39 42 43],"[11.0, 13.0]",10,0
89,44,[ 0  1  3  6  7 14 17 44 49 53 58 89 92],[ 0  3  5  8  9 11 15 21 23 28 29 31 37 39 41 42 43],"[13.0, 17.0]",10,1
90,45,[ 0  1  3  6 16 25 45 53 57 58 69 90 92],[ 3  8  9 13 15 19 21 23 24 27 29 31 37 39 41 43 44],"[13.0, 17.0]",10,0
91,45,[ 0  1  3  6 16 25 45 53 57 58 69 90 92],[ 3  8  9 13 15 19 21 23 24 27 29 31 37 39 41 43 44],"[13.0, 17.0]",10,1
92,46,[ 0  1  2  3  4  5  8 22 46 52 57 66 68 72 82 94],[ 3  9 11 15 16 17 18 20 21 26 29 31 35 37 39 41 44 46],"[16.0, 18.0]",10,0
93,46,[ 0  1  5  8 22 46 52 57 66 68 72 82 94],[ 3  9 14 16 20 26 29 31 35 38 39 41 44],"[13.0, 13.0]",10,1
94,47,[ 0  2  4  5 10 14 18 47 48 54 67],[ 5 14 15 16 18 19 29 30 33 36 38 39 42],"[11.0, 13.0]",10,0
95,47,[ 0  2  4  5 10 14 18 47 48 54 67],[ 5 14 15 16 18 19 29 30 33 36 38 39 42],"[11.0, 13.0]",10,1
96,48,[ 0  3  5 18 21 47 48 65 67 74 83],[ 9 10 11 16 17 20 27 29 33 35 36 37 39],"[11.0, 13.0]",10,0
97,48,[ 0  1  2  4  5  7 18 21 47 48 65 67 70 74 83],[ 0  2  4  9 10 14 15 16 20 21 27 28 29 31 32 33 35 36 39 44 46],"[15.0, 21.0]",10,1
98,49,[ 0  1  2  4  5  7 10 11 12 13 17 27 31 39 42 44 49 70 71 76 90 92],"[ 0  1  2  3  4  6  7  9 10 11 14 15 16 17 18 19 27 29 32 33 41 42 44 45
 46 47]","[22.0, 26.0]",10,0
99,49,[ 0  2  4  5  6  7 10 11 13 17 27 31 39 42 44 49 71 76 90 92],[ 0  1  3  6  8  9 10 11 14 15 16 17 23 27 29 31 32 33 38 42 45 46],"[20.0, 22.0]",10,1
100,50,[ 2  4  5  6  7 28 29 50 64 74 77 81],[ 0  1  5  6 14 15 16 17 18 28 32 33 35 41 45 46],"[12.0, 16.0]",10,0
101,50,[ 2  4  5  6  7 28 29 50 64 74 77 81],[ 0  1  5  6 14 15 16 17 18 28 32 33 35 41 45 46],"[12.0, 16.0]",10,1
102,51,[ 0  2  5  6  8 18 29 36 51 88 94],[ 3  9 15 17 29 30 33 38 39],"[11.0, 9.0]",10,0
103,51,[ 0  2  5  6  8 18 29 36 51 88 94],[ 3  9 15 17 29 30 33 38 39],"[11.0, 9.0]",10,1
104,52,[ 0  2  6 32 46 52 72 76 82],[ 1  3  7  8  9 17 38 39 41],"[9.0, 9.0]",10,0
105,52,[ 1  4  6 32 46 52 72 76 82],[ 1  3  4  7  8 14 15 18 29 31 41 44 46],"[9.0, 13.0]",10,1
